Order,Ambler class,Protein name,Alternative protein names,Subfamily,GenPeptID,GenBankID,PubMedID (DOI),Sequence,Number of PDB structures,Mutants,Phenotype,Functional information,Natural (N) or Acquired (A)
1,A,AAK-1,,SHV-like,QOI11476,MW042819,,view,,,,,N (Klebsiella pneumoniae ABHI1)
2,A,ACI-1,,,CAB51471,AJ007350,11036038 (DOI),view,,,,ESBL,N (Acidaminococcus fermentans)
3,A,AER-1,,,AAC09015,U14748,9687391 (DOI),view,,,,carbenicillinase,A
4,A,AFA-1,,,AAR97884,AY438037,14741712 (DOI),view,,,,,N (Aliivibrio fischeri ATCC7744)
5,A,AKK2-1,,,WP_179218415,NZ_CAMTNW010000006,39616894 (DOI),,,,,ESBL,N (uncultured Akkermansia sp.)
6,A,AKK2-2,,,WP_297405790,NZ_CANBDE010000026,,,,,,,N (uncultured Akkermansia sp.)
7,A,AKK2-3,,,WP_290551746,NZ_JAJPZG010000002,,,,,,,N (Akkermansia sp.)
8,A,AKK2-4,,,WP_295980194,NZ_CABRSK010000024,,,,,,,N (uncultured Akkermansia sp.)
9,A,AKK2-5,,,WP_290488221,NZ_CAMTAB010000026,,,,,,,N (uncultured Akkermansia sp.)
10,A,AKK2-6,,,WP_297668539,NZ_CAMWFO010000016,,,,,,,N (uncultured Akkermansia sp.)
11,A,AKK2-7,,,WP_215444241,NZ_CP072023,,,,,,,N (Akkermansia muciniphila Akk2090)
12,A,AKK2-8,,,WP_297546735,NZ_CAMVYA010000004,,,,,,,N (uncultured Akkermansia sp.)
13,A,AKK2-9,,,WP_300768370,NZ_CATBOL010000008,,,,,,,N (uncultured Akkermansia sp.)
14,A,AKK4-1,,,WP_067774247,NZ_LIGX01000018,39616894 (DOI),view,,,,ESBL,N (Akkermansia glycaniphila Pyt)
15,A,AKK4-2,,,WP_215714311,NZ_JACVVN010000012,,,,,,,N (Akkermansia glycaniphila GP37)
16,A,AKK6-1,,,WP_161981441,NZ_CAAEWG010000018,39616894 (DOI),,,,,broad spectrum,N (uncultured Akkermansia sp.)
17,A,AKK6-2,,,APO33505,KX128069,,,,,,,N (uncultured bacterium)
18,A,AKK6-3,,,WP_215437845,NZ_AP025943,,,,,,,N (Akkermansia biwaensis WON2089)
19,A,AKK6-4,,,WP_067951945,NZ_CALEXQ010000010,,,,,,,N (uncultured Akkermansia sp.)
20,A,AKK6-5,,,WP_295877481,NZ_CABQSK010000030,,,,,,,N (uncultured Akkermansia sp.)
21,A,AKK7-1,,,WP_290548123,NZ_JAJBTT010000018,39616894 (DOI),,,,,ESBL,N (Akkermansia sp.)
22,A,AKK7-2,,,WP_302014968,NZ_CATVRP010000073,,,,,,,N (uncultured Akkermansia sp.)
23,A,R39-1,,,CAA37699,X53650,2515104 (DOI),view,,,,,N (Actinomadura sp. R39)
24,A,ARL-1,,,APY23733,KY363215,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae SAN1670)
25,A,ARL-2,,,APY23841,KY363207,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae BM242)
26,A,ARL-3,,,APY23844,KY363208,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae CCUG 32416)
27,A,ARL-4,,,APY23838,KY363206,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae CCUG 50677)
28,A,ARL-5,,,APY23862,KY363214,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae CCUG 33610)
29,A,ARL-6,,,APY23865,KY464892,(DOI),view,,,10.1128/mSphere.00117-17,,N (Staphylococcus arlettae ILRI338)
30,A,AST-1,,AST-like,AAG44836,AF279904,11181374 (DOI),view,,,,broad spectrum,N (Nocardia asteroides)
31,A,ASU1-1,,,QWJ89340,MZ126682,,view,,,,,N (uncultured bacterium)
32,A,AXC-1,,,ATG32091,MF767301,29802257 (DOI),view,,,,carbapenemase,N (Achromobacter xylosoxidans JC186)
33,A,AXC-2,,,AXM44138,MH742744,38392853 (DOI),view,,,,carbapenemase,N (Achromobacter ruhlandii)
34,A,AXC-3,,,AXM44139,MH742745,,view,,,,carbapenemase,N (Achromobacter ruhlandii)
35,A,AXC-4,,,QEJ74006.1,MN339509,,view,,,,carbapenemase,N (Achromobacter xylosoxidans 196353)
36,A,AXC-5,,,QEJ80833.1,MN370453,,view,,,,carbapenemase,N (Achromobacter xylosoxidans 174423)
37,A,AXC-6,,,QUR41148,MZ025964,,view,,,,carbapenemase,N (Achromobacter ruhlandii)
38,A,AXC-7,,,UGN25768,OL516042,,view,,,,carbapenemase,N (Achromobacter xylosoxidans 163342)
39,A,AXC-8,,,BFR50331,LC834166,,view,,,,carbapenemase,N (Achromobacter ruhlandii GS627)
40,A,BBI-1,,,ATL63231,KY753882,,view,,,,,N (Brevibacillus brevis Vm4)
