genus,Domain,Phylum,Class,Order,Family
acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,moraxellaceae
burkholderia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
campylobacter,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae
citrobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
clostridioides,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae
cronobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
enterobacter,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
enterococcus,Bacteria,Firmicutes,Bacilli,Lactobacilliales,Enterococcaceae
escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
flavobacterium,Bacteria,Bacterioidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
morganella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
mycobacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,mycobacteriaceae
mycobacteroides,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,mycobacteriaceae
mycolicibacter,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,mycobacteriaceae
mycolicibacterium,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,mycobacteriaceae
neisseria,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae
bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacilliaceae
proteus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae
providencia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
pseudomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
raoultella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
salmonella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
serratia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
shigella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
shewanella,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae
staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae
stenotrophomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
yersinia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
mammaliicoccus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae
cutibacterium,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae
streptomyces,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
brucella,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae
roseomonas,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
leclercia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae
